species_code	species_full	clade	pct_identity_vs_human	pct_identity_seed_vs_human	positions_comparees
ofu	Owenia fusiformis	Autre	95.5	100.0	22
pfl	Ptychodera flava	Autre	95.5	100.0	22
xbo	Xenoturbella bocki	Autre	95.5	100.0	22
str	Strongyloides ratti	Nematoda	95.2	100.0	21
dme	Drosophila melanogaster	Insecta	90.9	100.0	22
dps	Drosophila pseudoobscura	Insecta	90.9	100.0	22
ame	Apis mellifera	Insecta	90.9	100.0	22
aga	Anopheles gambiae	Insecta	90.9	100.0	22
tca	Tribolium castaneum	Insecta	90.9	100.0	22
dan	Drosophila ananassae	Insecta	90.9	100.0	22
der	Drosophila erecta	Insecta	90.9	100.0	22
dgr	Drosophila grimshawi	Insecta	90.9	100.0	22
dmo	Drosophila mojavensis	Insecta	90.9	100.0	22
dpe	Drosophila persimilis	Insecta	90.9	100.0	22
dse	Drosophila sechellia	Insecta	90.9	100.0	22
dsi	Drosophila simulans	Insecta	90.9	100.0	22
dvi	Drosophila virilis	Insecta	90.9	100.0	22
dwi	Drosophila willistoni	Insecta	90.9	100.0	22
dya	Drosophila yakuba	Insecta	90.9	100.0	22
dpu	Daphnia pulex	Autre	90.9	100.0	22
isc	Ixodes scapularis	Autre	90.9	100.0	22
aae	Aedes aegypti	Insecta	90.9	100.0	22
cqu	Culex quinquefasciatus	Insecta	90.9	100.0	22
api	Acyrthosiphon pisum	Insecta	90.9	100.0	22
nvi	Nasonia vitripennis	Insecta	90.9	100.0	22
cin	Ciona intestinalis	Autre	90.9	100.0	22
ngi	Nasonia giraulti	Insecta	90.9	100.0	22
tur	Tetranychus urticae	Autre	90.9	100.0	22
tcf	Triops cancriformis	Autre	90.9	100.0	22
bdo	Bactrocera dorsalis	Insecta	90.9	100.0	22
pca	Polistes canadensis	Insecta	90.9	100.0	22
pte	Parasteatoda tepidariorum	Autre	90.9	100.0	22
dlo	Diachasmimorpha longicaudata	Insecta	90.9	100.0	22
bge	Blattella germanica	Insecta	90.9	100.0	22
obi	Octopus bimaculoides	Autre	90.9	100.0	22
esc	Euprymna scolopes	Autre	90.9	100.0	22
rph	Ruditapes philippinarum	Autre	90.9	100.0	22
csc	Centruroides sculpturatus	Autre	90.9	100.0	22
gpa	Glossina pallidipes	Insecta	90.9	100.0	22
ovu	Octopus vulgaris	Autre	90.9	100.0	22
dgy	Dimorphilus gyrociliatus	Autre	90.9	100.0	22
hmi	Hofstenia miamia	Autre	90.9	100.0	22
sne	Seison nebaliae	Autre	86.4	100.0	22
ava	Adineta vaga	Autre	85.7	100.0	21
emu	Echinococcus multilocularis	Autre	85.0	100.0	20
pcr	Prostheceraeus crozeri	Autre	81.8	100.0	22
fhe	Fasciola hepatica	Autre	76.2	100.0	21
gsa	Gyrodactylus salaris	Autre	72.7	100.0	22
mco	Mesocestoides corti	Autre	31.6	28.6	19
